"Info";"Date";"Time";"TimeStamp";"0,2 - CP_output_pwm";"0,2 - CP_rpms";"0,2 - CP_pressure"
"";"2020-11-30";"13:56:59.552";"19555";"10000";"1532";"597772"
"";"2020-11-30";"13:56:59.653";"19656";"10000";"1533";"622006"
"";"2020-11-30";"13:56:59.754";"19757";"10000";"1563";"613928"
"";"2020-11-30";"13:56:59.855";"19858";"10000";"1554";"630084"
"";"2020-11-30";"13:56:59.956";"19959";"10000";"1559";"622006"
"";"2020-11-30";"13:57:00.056";"20059";"10000";"1554";"605850"
"";"2020-11-30";"13:57:00.157";"20160";"10000";"1546";"622006"
"";"2020-11-30";"13:57:00.258";"20261";"10000";"1536";"573538"
"";"2020-11-30";"13:57:00.358";"20361";"10000";"1523";"557382"
"";"2020-11-30";"13:57:00.460";"20463";"10000";"1510";"589694"
"";"2020-11-30";"13:57:00.560";"20563";"10000";"1517";"557382"
"";"2020-11-30";"13:57:00.662";"20665";"10000";"1528";"557382"
"";"2020-11-30";"13:57:00.762";"20765";"10000";"1516";"581616"
"";"2020-11-30";"13:57:00.863";"20866";"10000";"1519";"613928"
"";"2020-11-30";"13:57:00.963";"20966";"10000";"1541";"605850"
"";"2020-11-30";"13:57:01.064";"21067";"10000";"1552";"605850"
"";"2020-11-30";"13:57:01.165";"21168";"10000";"1569";"630084"
"";"2020-11-30";"13:57:01.266";"21269";"10000";"1564";"613928"
"";"2020-11-30";"13:57:01.366";"21369";"10000";"1562";"605850"
"";"2020-11-30";"13:57:01.467";"21470";"10000";"1574";"646240"
"";"2020-11-30";"13:57:01.567";"21570";"10000";"1576";"589694"
"";"2020-11-30";"13:57:01.668";"21671";"10000";"1572";"654318"
"";"2020-11-30";"13:57:01.769";"21772";"10000";"1565";"613928"
"";"2020-11-30";"13:57:01.870";"21873";"10000";"1572";"597772"
"";"2020-11-30";"13:57:01.971";"21974";"10000";"1564";"605850"
"";"2020-11-30";"13:57:02.072";"22075";"10000";"1541";"597772"
"";"2020-11-30";"13:57:02.173";"22176";"10000";"1535";"630084"
"";"2020-11-30";"13:57:02.275";"22278";"10000";"1537";"573538"
"";"2020-11-30";"13:57:02.376";"22379";"10000";"1516";"597772"
"";"2020-11-30";"13:57:02.476";"22479";"10000";"1519";"589694"
"";"2020-11-30";"13:57:02.577";"22580";"10000";"1521";"549304"
"";"2020-11-30";"13:57:02.678";"22681";"10000";"1526";"605850"
"";"2020-11-30";"13:57:02.778";"22781";"10000";"1540";"581616"
"";"2020-11-30";"13:57:02.880";"22883";"10000";"1542";"573538"
"";"2020-11-30";"13:57:02.980";"22983";"10000";"1541";"613928"
"";"2020-11-30";"13:57:03.081";"23084";"10000";"1537";"597772"
"";"2020-11-30";"13:57:03.181";"23184";"10000";"1535";"597772"
"";"2020-11-30";"13:57:03.282";"23285";"10000";"1538";"581616"
"";"2020-11-30";"13:57:03.383";"23386";"10000";"1525";"597772"
"";"2020-11-30";"13:57:03.483";"23486";"10000";"1517";"613928"
"";"2020-11-30";"13:57:03.585";"23588";"10000";"1530";"573538"
"";"2020-11-30";"13:57:03.686";"23689";"10000";"1527";"613928"
"";"2020-11-30";"13:57:03.786";"23789";"10000";"1527";"597772"
"";"2020-11-30";"13:57:03.887";"23890";"10000";"1546";"581616"
"";"2020-11-30";"13:57:03.989";"23992";"10000";"1535";"597772"
"";"2020-11-30";"13:57:04.089";"24092";"10000";"1529";"573538"
"";"2020-11-30";"13:57:04.190";"24193";"10000";"1547";"573538"
"";"2020-11-30";"13:57:04.291";"24294";"10000";"1522";"581616"
"";"2020-11-30";"13:57:04.391";"24394";"10000";"1522";"589694"
"";"2020-11-30";"13:57:04.491";"24494";"10000";"1519";"581616"
"";"2020-11-30";"13:57:04.593";"24596";"10000";"1528";"581616"
"";"2020-11-30";"13:57:04.694";"24697";"10000";"1525";"622006"
"";"2020-11-30";"13:57:04.794";"24797";"10000";"1529";"597772"
"";"2020-11-30";"13:57:04.895";"24898";"10000";"1552";"727020"
"";"2020-11-30";"13:57:04.996";"24999";"10000";"1725";"953204"
"";"2020-11-30";"13:57:05.097";"25100";"10000";"2064";"1244012"
"";"2020-11-30";"13:57:05.198";"25201";"10000";"2427";"1720614"
"";"2020-11-30";"13:57:05.298";"25301";"10000";"2777";"1979110"
"";"2020-11-30";"13:57:05.399";"25402";"10000";"3074";"2245684"
"";"2020-11-30";"13:57:05.500";"25503";"10000";"3290";"2326464"
"";"2020-11-30";"13:57:05.601";"25604";"10000";"3363";"2181060"
"";"2020-11-30";"13:57:05.702";"25705";"10000";"3348";"2108358"
"";"2020-11-30";"13:57:05.802";"25805";"10000";"3321";"2132592"
"";"2020-11-30";"13:57:05.904";"25907";"10000";"3326";"2156826"
"";"2020-11-30";"13:57:06.005";"26008";"10000";"3350";"2164904"
"";"2020-11-30";"13:57:06.106";"26109";"10000";"3359";"2189138"
"";"2020-11-30";"13:57:06.208";"26211";"10000";"3358";"2164904"
"";"2020-11-30";"13:57:06.308";"26311";"10000";"3378";"2172982"
"";"2020-11-30";"13:57:06.409";"26412";"10000";"3388";"2076046"
"";"2020-11-30";"13:57:06.509";"26512";"10000";"3376";"2059890"
"";"2020-11-30";"13:57:06.610";"26613";"10000";"3369";"2051812"
"";"2020-11-30";"13:57:06.711";"26714";"10000";"3368";"2092202"
"";"2020-11-30";"13:57:06.812";"26815";"10000";"3366";"2108358"
"";"2020-11-30";"13:57:06.913";"26916";"10000";"3364";"2172982"
"";"2020-11-30";"13:57:07.014";"27017";"10000";"3375";"2124514"
"";"2020-11-30";"13:57:07.114";"27117";"10000";"3383";"2189138"
"";"2020-11-30";"13:57:07.215";"27218";"10000";"3385";"2140670"
